,type,season,section,raw,nouns,cleaned,corpus_str,lemmatized,sections_cl
10,S,2020,general_conditions,3.5 No pass may be issued or used other than with the agreement of the FIA. A pass may be used only by the person and for the purpose for which it was issued.,"['pass', 'agreement', 'fia', 'pass', 'person', 'purpose']","['no', 'pass', 'may', 'issued', 'used', 'agreement', 'fia', 'a', 'pass', 'may', 'used', 'person', 'purpose', 'issued']",no pass may issued used agreement fia a pass may used person purpose issued,"['pas', 'may', 'issue', 'use', 'agreement', 'fia', 'pas', 'may', 'use', 'person', 'purpose', 'issue']","['general', 'conditions']"
11,S,2020,licenses,"4.1 All drivers, competitors and officials participating in the Championship must hold a FIA Super Licence. Applications for Super Licences must be made annually to the FIA through the applicant's ASN.
","['drivers', 'competitors', 'officials', 'championship', 'licence', 'applications', 'licences', 'fia', 'asn']","['all', 'drivers', 'competitors', 'officials', 'participating', 'championship', 'must', 'hold', 'fia', 'super', 'licence', 'applications', 'super', 'licences', 'must', 'made', 'annually', 'fia', 'applicant', 'asn']",all drivers competitors officials participating championship must hold fia super licence applications super licences must made annually fia applicant asn,"['driver', 'competitor', 'official', 'participate', 'championship', 'must', 'hold', 'fia', 'super', 'licence', 'application', 'super', 'licence', 'must', 'make', 'annually', 'fia', 'applicant', 'asn']",['licenses']
12,S,2020,licenses,"4.2 With the exception of a reprimand or fine, when a penalty is applied under the International Sporting Code or Article 38.3 the stewards may impose penalty points on a driver’s Super Licence. If a driver accrues 12 penalty points his licence will be suspended for the following Event, following which 12 points will be removed from the licence.
Penalty points will remain on a driver’s Super Licence for a period of 12 months after which they will be respectively removed on the 12 month anniversary of their imposition.
","['exception', 'reprimand', 'fine', 'penalty', 'code', 'stewards', 'points', 'driver', 'licence', 'driver', 'penalty', 'licence', 'event', 'points', 'licence', 'points', 'driver', 'period', 'months', 'anniversary', 'imposition']","['with', 'exception', 'reprimand', 'fine', 'penalty', 'applied', 'international', 'sporting', 'code', 'article', 'stewards', 'may', 'impose', 'penalty', 'points', 'driver', 'super', 'licence', 'if', 'driver', 'accrues', 'penalty', 'points', 'licence', 'suspended', 'following', 'event', 'following', 'points', 'removed', 'licence', 'penalty', 'points', 'remain', 'driver', 'super', 'licence', 'period', 'months', 'respectively', 'removed', 'month', 'anniversary', 'imposition']",with exception reprimand fine penalty applied international sporting code article stewards may impose penalty points driver super licence if driver accrues penalty points licence suspended following event following points removed licence penalty points remain driver super licence period months respectively removed month anniversary imposition,"['exception', 'reprimand', 'fine', 'penalty', 'apply', 'international', 'sport', 'code', 'article', 'steward', 'may', 'impose', 'penalty', 'point', 'driver', 'super', 'licence', 'driver', 'accrue', 'penalty', 'point', 'licence', 'suspend', 'follow', 'event', 'follow', 'point', 'remove', 'licence', 'penalty', 'point', 'remain', 'driver', 'super', 'licence', 'period', 'month', 'respectively', 'remove', 'month', 'anniversary', 'imposition']",['licenses']
13,S,2020,championship_events,"5.1 Events are reserved for Formula One cars as defined in the Technical Regulations.
","['events', 'cars']","['events', 'reserved', 'formula', 'one', 'cars', 'defined', 'technical', 'regulations']",events reserved formula one cars defined technical regulations,"['event', 'reserve', 'formula', 'one', 'car', 'define', 'technical', 'regulation']","['championship', 'events']"
14,S,2020,championship_events,"5.2 Each Event will have the status of an international restricted competition.
","['event', 'status', 'competition']","['each', 'event', 'status', 'international', 'restricted', 'competition']",each event status international restricted competition,"['event', 'status', 'international', 'restrict', 'competition']","['championship', 'events']"
15,S,2020,championship_events,"5.3 The distance of all races, from the start signal referred to in Article 36.10 to the end-of-race signal referred to in Article 43.1, shall be equal to the least number of complete laps which exceed a distance of 305km. However, should two hours’ elapse before the scheduled race distance is completed, the leader will be shown the end-of-race signal when he crosses the control line (the Line) at the end of the lap following the lap during which the two hour period ended, provided this does not result in the scheduled number of laps being exceeded. Only under the circumstances below will any exception be made to the above:
a) The distance of the race in Monaco shall be equal to the least number of complete laps which exceed a distance of 260km.
b) Should the race be suspended (see Article 41) the length of the suspension will be added to this period up to a maximum total race time of four hours.
c) If the formation lap is started behind the safety car (see Article 36.15(c)) the number of race laps will be reduced by the number of laps carried out by the safety car minus one.
","['distance', 'races', 'signal', 'race', 'number', 'laps', 'distance', 'km', 'hours', 'distance', 'leader', 'race', 'line', 'line', 'end', 'lap', 'lap', 'period', 'number', 'laps', 'circumstances', 'exception', 'distance', 'race', 'monaco', 'number', 'laps', 'distance', 'km', 'b', 'race', 'length', 'suspension', 'period', 'time', 'hours', 'lap', 'car', 'number', 'laps', 'number', 'laps', 'car']","['the', 'distance', 'races', 'start', 'signal', 'referred', 'article', 'signal', 'referred', 'article', 'shall', 'equal', 'least', 'number', 'complete', 'laps', 'exceed', 'distance', 'km', 'however', 'two', 'hours', 'elapse', 'scheduled', 'race', 'distance', 'completed', 'leader', 'shown', 'signal', 'crosses', 'control', 'line', 'line', 'end', 'lap', 'following', 'lap', 'two', 'hour', 'period', 'ended', 'provided', 'result', 'scheduled', 'number', 'laps', 'exceeded', 'only', 'circumstances', 'exception', 'made', 'the', 'distance', 'race', 'monaco', 'shall', 'equal', 'least', 'number', 'complete', 'laps', 'exceed', 'distance', 'km', 'b', 'should', 'race', 'suspended', 'see', 'article', 'length', 'suspension', 'added', 'period', 'maximum', 'total', 'race', 'time', 'four', 'hours', 'c', 'if', 'formation', 'lap', 'started', 'behind', 'safety', 'car', 'see', 'article', 'c', 'number', 'race', 'laps', 'reduced', 'number', 'laps', 'carried', 'safety', 'car', 'minus', 'one']",the distance races start signal referred article signal referred article shall equal least number complete laps exceed distance km however two hours elapse scheduled race distance completed leader shown signal crosses control line line end lap following lap two hour period ended provided result scheduled number laps exceeded only circumstances exception made the distance race monaco shall equal least number complete laps exceed distance km b should race suspended see article length suspension added period maximum total race time four hours c if formation lap started behind safety car see article c number race laps reduced number laps carried safety car minus one,"['distance', 'race', 'start', 'signal', 'refer', 'article', 'signal', 'refer', 'article', 'shall', 'equal', 'least', 'number', 'complete', 'lap', 'exceed', 'distance', 'km', 'however', 'two', 'hour', 'elapse', 'schedule', 'race', 'distance', 'complete', 'leader', 'show', 'signal', 'cross', 'control', 'line', 'line', 'end', 'lap', 'follow', 'lap', 'two', 'hour', 'period', 'end', 'provide', 'result', 'schedule', 'number', 'lap', 'exceed', 'circumstance', 'exception', 'make', 'distance', 'race', 'monaco', 'shall', 'equal', 'least', 'number', 'complete', 'lap', 'exceed', 'distance', 'km', 'b', 'race', 'suspend', 'see', 'article', 'length', 'suspension', 'add', 'period', 'maximum', 'total', 'race', 'time', 'four', 'hour', 'c', 'formation', 'lap', 'start', 'behind', 'safety', 'car', 'see', 'article', 'c', 'number', 'race', 'lap', 'reduce', 'number', 'lap', 'carry', 'safety', 'car', 'minus', 'one']","['championship', 'events']"
16,S,2020,championship_events,"5.4 The maximum number of Events in the Championship is 22, the minimum is 8.
","['number', 'events', 'championship', 'minimum']","['the', 'maximum', 'number', 'events', 'championship', 'minimum']",the maximum number events championship minimum,"['maximum', 'number', 'event', 'championship', 'minimum']","['championship', 'events']"
17,S,2020,championship_events,"5.5 An Event which is cancelled with less than three months’ written notice to the FIA will not be considered for inclusion in the following year's Championship unless the FIA judges the cancellation to have been due to force majeure.
","['event', 'months', 'notice', 'fia', 'inclusion', 'championship', 'fia', 'cancellation', 'majeure']","['an', 'event', 'cancelled', 'less', 'three', 'months', 'written', 'notice', 'fia', 'considered', 'inclusion', 'following', 'year', 'championship', 'unless', 'fia', 'judges', 'cancellation', 'due', 'force', 'majeure']",an event cancelled less three months written notice fia considered inclusion following year championship unless fia judges cancellation due force majeure,"['event', 'cancel', 'le', 'three', 'month', 'write', 'notice', 'fia', 'consider', 'inclusion', 'follow', 'year', 'championship', 'unless', 'fia', 'judge', 'cancellation', 'due', 'force', 'majeure']","['championship', 'events']"
18,S,2020,championship_events,5.6 An Event may be cancelled if fewer than 12 cars are available for it.,"['event', 'cars']","['an', 'event', 'may', 'cancelled', 'fewer', 'cars', 'available']",an event may cancelled fewer cars available,"['event', 'may', 'cancel', 'few', 'car', 'available']","['championship', 'events']"
19,S,2020,world_championship,"6.1 The Formula One World Championship driver's title will be awarded to the driver who has scored the highest number of points, taking into consideration all the results obtained during the Events which have actually taken place.
","['title', 'driver', 'number', 'points', 'consideration', 'results', 'events', 'place']","['the', 'formula', 'one', 'world', 'championship', 'driver', 'title', 'awarded', 'driver', 'scored', 'highest', 'number', 'points', 'taking', 'consideration', 'results', 'obtained', 'events', 'actually', 'taken', 'place']",the formula one world championship driver title awarded driver scored highest number points taking consideration results obtained events actually taken place,"['formula', 'one', 'world', 'championship', 'driver', 'title', 'award', 'driver', 'score', 'high', 'number', 'point', 'take', 'consideration', 'result', 'obtain', 'event', 'actually', 'take', 'place']","['world', 'championship']"
20,S,2020,world_championship,"6.2 The title of Formula One World Champion Constructor will be awarded to the competitor which has scored the highest number of points, results from both cars (see Article 8.6) being taken into account.
","['title', 'constructor', 'competitor', 'number', 'points', 'results', 'cars', 'account']","['the', 'title', 'formula', 'one', 'world', 'champion', 'constructor', 'awarded', 'competitor', 'scored', 'highest', 'number', 'points', 'results', 'cars', 'see', 'article', 'taken', 'account']",the title formula one world champion constructor awarded competitor scored highest number points results cars see article taken account,"['title', 'formula', 'one', 'world', 'champion', 'constructor', 'award', 'competitor', 'score', 'high', 'number', 'point', 'result', 'car', 'see', 'article', 'take', 'account']","['world', 'championship']"
21,S,2020,world_championship,"6.3 A constructor is the person (including any corporate or unincorporated body) which designs the Listed Parts set out in Appendix 6. The make of an engine or chassis is the name attributed to it by its constructor.
The obligation to design and use Listed Parts shall not prevent a constructor from outsourcing the design and/or manufacture of any Listed Parts to a third party in accordance with the provisions of Appendix 6.
If the make of the chassis is not the same as that of the engine, the title will be awarded to the former which shall always precede the latter in the name of the car.
","['constructor', 'person', 'body', 'parts', 'engine', 'chassis', 'constructor', 'obligation', 'parts', 'constructor', 'design', 'manufacture', 'parts', 'party', 'accordance', 'provisions', 'chassis', 'engine', 'title', 'car']","['a', 'constructor', 'person', 'including', 'corporate', 'unincorporated', 'body', 'designs', 'listed', 'parts', 'set', 'appendix', 'the', 'make', 'engine', 'chassis', 'name', 'attributed', 'constructor', 'the', 'obligation', 'design', 'use', 'listed', 'parts', 'shall', 'prevent', 'constructor', 'outsourcing', 'design', 'manufacture', 'listed', 'parts', 'third', 'party', 'accordance', 'provisions', 'appendix', 'if', 'make', 'chassis', 'engine', 'title', 'awarded', 'former', 'shall', 'always', 'precede', 'latter', 'name', 'car']",a constructor person including corporate unincorporated body designs listed parts set appendix the make engine chassis name attributed constructor the obligation design use listed parts shall prevent constructor outsourcing design manufacture listed parts third party accordance provisions appendix if make chassis engine title awarded former shall always precede latter name car,"['constructor', 'person', 'include', 'corporate', 'unincorporated', 'body', 'design', 'list', 'part', 'set', 'appendix', 'make', 'engine', 'chassis', 'name', 'attribute', 'constructor', 'obligation', 'design', 'use', 'list', 'part', 'shall', 'prevent', 'constructor', 'outsource', 'design', 'manufacture', 'list', 'part', 'third', 'party', 'accordance', 'provision', 'appendix', 'make', 'chassis', 'engine', 'title', 'award', 'former', 'shall', 'always', 'precede', 'latter', 'name', 'car']","['world', 'championship']"
22,S,2020,world_championship,"6.4 Points for both titles will be awarded at each Event according to the following scale:
1st : 2nd : 3rd : 4th : 5th : 6th : 7th : 8th : 9th : 10th :
25 points 18 points 15 points 12 points 10 points 8 points 6 points 4 points 2 points 1 point
In addition to the above, one point will be awarded to the driver who achieved the fastest valid lap time of the race and to the constructor whose car he was driving, provided he was in the top ten positions of the final race classification (see Article 45). No point will be awarded if the fastest valid lap time is achieved by a driver who was classified outside the top ten positions.
","['points', 'titles', 'event', 'scale', 'points', 'points', 'addition', 'point', 'driver', 'time', 'race', 'constructor', 'car', 'positions', 'classification', 'point', 'time', 'driver', 'positions']","['points', 'titles', 'awarded', 'event', 'according', 'following', 'scale', 'points', 'points', 'points', 'points', 'points', 'points', 'points', 'points', 'points', 'point', 'in', 'addition', 'one', 'point', 'awarded', 'driver', 'achieved', 'fastest', 'valid', 'lap', 'time', 'race', 'constructor', 'whose', 'car', 'driving', 'provided', 'top', 'ten', 'positions', 'final', 'race', 'classification', 'see', 'article', 'no', 'point', 'awarded', 'fastest', 'valid', 'lap', 'time', 'achieved', 'driver', 'classified', 'outside', 'top', 'ten', 'positions']",points titles awarded event according following scale points points points points points points points points points point in addition one point awarded driver achieved fastest valid lap time race constructor whose car driving provided top ten positions final race classification see article no point awarded fastest valid lap time achieved driver classified outside top ten positions,"['point', 'title', 'award', 'event', 'accord', 'follow', 'scale', 'point', 'point', 'point', 'point', 'point', 'point', 'point', 'point', 'point', 'point', 'addition', 'one', 'point', 'award', 'driver', 'achieve', 'fast', 'valid', 'lap', 'time', 'race', 'constructor', 'whose', 'car', 'drive', 'provide', 'top', 'ten', 'position', 'final', 'race', 'classification', 'see', 'article', 'point', 'award', 'fast', 'valid', 'lap', 'time', 'achieve', 'driver', 'classify', 'outside', 'top', 'ten', 'position']","['world', 'championship']"
23,S,2020,world_championship,"6.5 If a race is suspended under Article 41, and cannot be resumed, no points will be awarded if the leader has completed two laps or less, half points will be awarded if the leader has completed more than two laps but less than 75% of the original race distance and full points will be awarded if the leader has completed 75% or more of the original race distance.
If the formation lap is started behind the safety car (see Article 36.15(c)), the original race distance will be deemed to be the distance calculated in accordance with Article 5.3(c). However, the maximum race time of four hours (see Article 5.3(b) will commence at the scheduled race start time.
","['race', 'points', 'leader', 'laps', 'points', 'leader', 'laps', '%', 'distance', 'points', 'leader', '%', 'distance', 'lap', 'car', 'distance', 'distance', 'accordance', 'time', 'hours', 'race', 'start', 'time']","['if', 'race', 'suspended', 'article', 'resumed', 'points', 'awarded', 'leader', 'completed', 'two', 'laps', 'less', 'half', 'points', 'awarded', 'leader', 'completed', 'two', 'laps', 'less', 'original', 'race', 'distance', 'full', 'points', 'awarded', 'leader', 'completed', 'original', 'race', 'distance', 'if', 'formation', 'lap', 'started', 'behind', 'safety', 'car', 'see', 'article', 'c', 'original', 'race', 'distance', 'deemed', 'distance', 'calculated', 'accordance', 'article', 'c', 'however', 'maximum', 'race', 'time', 'four', 'hours', 'see', 'article', 'b', 'commence', 'scheduled', 'race', 'start', 'time']",if race suspended article resumed points awarded leader completed two laps less half points awarded leader completed two laps less original race distance full points awarded leader completed original race distance if formation lap started behind safety car see article c original race distance deemed distance calculated accordance article c however maximum race time four hours see article b commence scheduled race start time,"['race', 'suspend', 'article', 'resume', 'point', 'award', 'leader', 'complete', 'two', 'lap', 'le', 'half', 'point', 'award', 'leader', 'complete', 'two', 'lap', 'le', 'original', 'race', 'distance', 'full', 'point', 'award', 'leader', 'complete', 'original', 'race', 'distance', 'formation', 'lap', 'start', 'behind', 'safety', 'car', 'see', 'article', 'c', 'original', 'race', 'distance', 'deem', 'distance', 'calculate', 'accordance', 'article', 'c', 'however', 'maximum', 'race', 'time', 'four', 'hour', 'see', 'article', 'b', 'commence', 'schedule', 'race', 'start', 'time']","['world', 'championship']"
24,S,2020,world_championship,"6.6 The drivers finishing first, second and third in the Championship must be present at the annual FIA Prize Giving ceremony.","['drivers', 'championship', 'ceremony']","['the', 'drivers', 'finishing', 'first', 'second', 'third', 'championship', 'must', 'present', 'annual', 'fia', 'prize', 'giving', 'ceremony']",the drivers finishing first second third championship must present annual fia prize giving ceremony,"['driver', 'finish', 'first', 'second', 'third', 'championship', 'must', 'present', 'annual', 'fia', 'prize', 'give', 'ceremony']","['world', 'championship']"
25,S,2020,dead_heat,"7.1 Prizes and points awarded for all the positions of competitors who tie, will be added together
and shared equally.
","['prizes', 'points', 'positions', 'competitors']","['prizes', 'points', 'awarded', 'positions', 'competitors', 'tie', 'added', 'together', 'shared', 'equally']",prizes points awarded positions competitors tie added together shared equally,"['prize', 'point', 'award', 'position', 'competitor', 'tie', 'add', 'together', 'share', 'equally']","['dead', 'heat']"
26,S,2020,dead_heat,"7.2 If two or more constructors or drivers finish the season with the same number of points, the higher place in the Championship (in either case) shall be awarded to:
a) The holder of the greatest number of first places.
b) If the number of first places is the same, the holder of the greatest number of second places.
c) If the number of second places is the same, the holder of the greatest number of third places and so on until a winner emerges.
d) If this procedure fails to produce a result, the FIA will nominate the winner according to such criteria as it thinks fit.","['constructors', 'drivers', 'season', 'number', 'points', 'place', 'championship', 'case', 'holder', 'number', 'places', 'number', 'places', 'holder', 'number', 'places', 'number', 'places', 'holder', 'number', 'places', 'winner', 'procedure', 'result', 'fia', 'winner', 'criteria']","['if', 'two', 'constructors', 'drivers', 'finish', 'season', 'number', 'points', 'higher', 'place', 'championship', 'either', 'case', 'shall', 'awarded', 'the', 'holder', 'greatest', 'number', 'first', 'places', 'b', 'if', 'number', 'first', 'places', 'holder', 'greatest', 'number', 'second', 'places', 'c', 'if', 'number', 'second', 'places', 'holder', 'greatest', 'number', 'third', 'places', 'winner', 'emerges', 'if', 'procedure', 'fails', 'produce', 'result', 'fia', 'nominate', 'winner', 'according', 'criteria', 'thinks', 'fit']",if two constructors drivers finish season number points higher place championship either case shall awarded the holder greatest number first places b if number first places holder greatest number second places c if number second places holder greatest number third places winner emerges if procedure fails produce result fia nominate winner according criteria thinks fit,"['two', 'constructor', 'driver', 'finish', 'season', 'number', 'point', 'high', 'place', 'championship', 'either', 'case', 'shall', 'award', 'holder', 'great', 'number', 'first', 'place', 'b', 'number', 'first', 'place', 'holder', 'great', 'number', 'second', 'place', 'c', 'number', 'second', 'place', 'holder', 'great', 'number', 'third', 'place', 'winner', 'emerge', 'procedure', 'fail', 'produce', 'result', 'fia', 'nominate', 'winner', 'accord', 'criterion', 'think', 'fit']","['dead', 'heat']"
